Header/GUID;${L_main$$Header} > ${L_Model$$GUIDOfDeclaration}
Header/TransitOperation;${L_main$$Header} > ${L_Model$$TransitOperation}
Header/TransitOperation/fallbackProcedure;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$FallbackProcedure}
Header/TransitOperation/releaseDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseDate}
Header/TransitOperation/declarationType;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationType}
Header/TransitOperation/declarationType/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationType} > ${DeclarationTypeCode}
Header/TransitOperation/declarationType/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationType} > ${Description}
Header/TransitOperation/declarationType/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationType} > ${Valid from}
Header/TransitOperation/declarationType/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationType} > ${Valid to}
Header/TransitOperation/declarationType/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationType} > ${_ description}
Header/TransitOperation/declarationType/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationType} > ${Description language}
Header/TransitOperation/additionalDeclarationType;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AdditionalDeclarationType}
Header/TransitOperation/additionalDeclarationType/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AdditionalDeclarationType} > ${Code}
Header/TransitOperation/additionalDeclarationType/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AdditionalDeclarationType} > ${Description}
Header/TransitOperation/additionalDeclarationType/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AdditionalDeclarationType} > ${Valid from}
Header/TransitOperation/additionalDeclarationType/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AdditionalDeclarationType} > ${Valid to}
Header/TransitOperation/additionalDeclarationType/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AdditionalDeclarationType} > ${_ description}
Header/TransitOperation/additionalDeclarationType/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AdditionalDeclarationType} > ${Description language}
Header/TransitOperation/TIRCarnetNumber;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$TIRCarnetNumber}
Header/TransitOperation/security;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Security}
Header/TransitOperation/security/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Security} > ${DeclarationTypeSecurityCode}
Header/TransitOperation/security/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Security} > ${Description}
Header/TransitOperation/security/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Security} > ${Valid from}
