"GUID","${L_Model$$GUIDOfDeclaration}"
"TransitOperation","${L_Model$$TransitOperation}"
"TransitOperation/reducedDatasetIndicator","${L_Model$$TransitOperation} > ${L_Model$$ReducedDatasetIndicator}"
"Consignment","${L_Model$$Consignment}"
"Consignment/containerIndicator","${L_Model$$Consignment} > ${L_Model$$ContainerIndicator}"
"Consignment/inlandModeOfTransport","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport}"
"Consignment/inlandModeOfTransport/Code","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${TransportModeUCCCode}"
"Consignment/inlandModeOfTransport/Description","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${Description}"
"Consignment/inlandModeOfTransport/ValidFrom","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${Valid from}"
"Consignment/inlandModeOfTransport/ValidTo","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${Valid to}"
"Consignment/inlandModeOfTransport/_description","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${_ description}"
"Consignment/inlandModeOfTransport/Lng","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${Description language}"
"Consignment/TransportEquipment","${L_Model$$Consignment} > ${L_Model$$TransportEquipment}"
"Consignment/TransportEquipment[]","${L_Model$$Consignment} > ${L_Model$$TransportEquipment} ${IX_TransportEquipment}"
"Consignment/TransportEquipment/containerIdentificationNumber","${L_Model$$Consignment} > ${L_Model$$TransportEquipment} ${IX_TransportEquipment} > ${L_Model$$ContainerIdentificationNumber}"
"Consignment/LocationOfGoods","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1}"
"Consignment/LocationOfGoods/typeOfLocation","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$TypeOfLocation}"
"Consignment/LocationOfGoods/typeOfLocation/Code","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$TypeOfLocation} > ${TypeOfLocation}"
"Consignment/LocationOfGoods/typeOfLocation/Description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$TypeOfLocation} > ${Description}"
"Consignment/LocationOfGoods/typeOfLocation/ValidFrom","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$TypeOfLocation} > ${Valid from}"
"Consignment/LocationOfGoods/typeOfLocation/ValidTo","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$TypeOfLocation} > ${Valid to}"
"Consignment/LocationOfGoods/typeOfLocation/_description","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$TypeOfLocation} > ${_ description}"
"Consignment/LocationOfGoods/typeOfLocation/Lng","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$TypeOfLocation} > ${Description language}"
"Consignment/LocationOfGoods/qualifierOfIdentification","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$QualifierOfIdentification}"
"Consignment/LocationOfGoods/qualifierOfIdentification/Code","${L_Model$$Consignment} > ${L_Model$$LocationOfGoods1} > ${L_Model$$QualifierOfIdentification} > ${QualifierOfTheIdentification}"
