"TransitOperation","${L_Model$$TransitOperation}"
"TransitOperation/MRN","${L_Model$$TransitOperation} > ${MRN}"
"TransitOperation/bindingItinerary","${L_Model$$TransitOperation} > ${L_Model$$BindingItinerary}"
"TransitOperation/limitDate","${L_Model$$TransitOperation} > ${L_Model$$LimitDate}"
"ControlResult","${L_Model$$ControlResult}"
"ControlResult/code","${L_Model$$ControlResult} > ${L_Model$$Code}"
"ControlResult/code/Code","${L_Model$$ControlResult} > ${L_Model$$Code} > ${ControlResultCode}"
"ControlResult/code/Description","${L_Model$$ControlResult} > ${L_Model$$Code} > ${Description}"
"ControlResult/code/ValidFrom","${L_Model$$ControlResult} > ${L_Model$$Code} > ${Valid from}"
"ControlResult/code/ValidTo","${L_Model$$ControlResult} > ${L_Model$$Code} > ${Valid to}"
"ControlResult/code/_description","${L_Model$$ControlResult} > ${L_Model$$Code} > ${_ description}"
"ControlResult/code/Lng","${L_Model$$ControlResult} > ${L_Model$$Code} > ${Description language}"
"ControlResult/text","${L_Model$$ControlResult} > ${L_Model$$Text}"
"Guarantee","${L_Model$$Guarantee}"
"Guarantee[]","${L_Model$$Guarantee} ${IX_Guarantee}"
"Guarantee/guaranteeType","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeType}"
"Guarantee/guaranteeType/Code","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeType} > ${GuaranteeTypeCode}"
"Guarantee/guaranteeType/Description","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeType} > ${Description}"
"Guarantee/guaranteeType/ValidFrom","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeType} > ${Valid from}"
"Guarantee/guaranteeType/ValidTo","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeType} > ${Valid to}"
"Guarantee/guaranteeType/Lng","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeType} > ${Description language}"
"Guarantee/guaranteeType/_description","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeType} > ${_ description}"
"Guarantee/otherGuaranteeReference","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$OtherGuaranteeReference}"
"Guarantee/GuaranteeReference","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference}"
"Guarantee/GuaranteeReference[]","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference}"
"Guarantee/GuaranteeReference/GRN","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$GRN}"
"Guarantee/GuaranteeReference/accessCode","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$AccessCode}"
"Guarantee/GuaranteeReference/amountToBeCovered","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$AmountToBeCovered}"
"Guarantee/GuaranteeReference/currency","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$Currency}"
"Guarantee/GuaranteeReference/currency/Code","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$Currency} > ${Currency}"
"Guarantee/GuaranteeReference/currency/RateValue","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$Currency} > ${RateValue}"
"Guarantee/GuaranteeReference/currency/Description","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$Currency} > ${Description}"
"Guarantee/GuaranteeReference/currency/ValidFrom","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$Currency} > ${Valid from}"
"Guarantee/GuaranteeReference/currency/ValidTo","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$Currency} > ${Valid to}"
"Guarantee/GuaranteeReference/currency/_description","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$Currency} > ${_ description}"
"Guarantee/GuaranteeReference/currency/Lng","${L_Model$$Guarantee} ${IX_Guarantee} > ${L_Model$$GuaranteeReference} ${IX_GuaranteeReference} > ${L_Model$$Currency} > ${Description language}"
"Consignment","${L_Model$$Consignment}"
"Consignment/inlandModeOfTransport","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport}"
"Consignment/inlandModeOfTransport/Code","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${TransportModeUCCCode}"
"Consignment/inlandModeOfTransport/Description","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${Description}"
"Consignment/inlandModeOfTransport/ValidFrom","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${Valid from}"
"Consignment/inlandModeOfTransport/ValidTo","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${Valid to}"
"Consignment/inlandModeOfTransport/_description","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${_ description}"
"Consignment/inlandModeOfTransport/Lng","${L_Model$$Consignment} > ${L_Model$$InlandModeOfTransport} > ${Description language}"
"Consignment/TransportEquipment","${L_Model$$Consignment} > ${L_Model$$TransportEquipment}"
"Consignment/TransportEquipment[]","${L_Model$$Consignment} > ${L_Model$$TransportEquipment} ${IX_TransportEquipment}"
"Consignment/TransportEquipment/numberOfSeals","${L_Model$$Consignment} > ${L_Model$$TransportEquipment} ${IX_TransportEquipment} > ${L_Model$$NumberOfSeals}"
"Consignment/TransportEquipment/Seal","${L_Model$$Consignment} > ${L_Model$$TransportEquipment} ${IX_TransportEquipment} > ${L_Model$$Seal}"
"Consignment/TransportEquipment/Seal[]","${L_Model$$Consignment} > ${L_Model$$TransportEquipment} ${IX_TransportEquipment} > ${L_Model$$Seal} ${IX_Seal}"
"Consignment/TransportEquipment/Seal/identifier","${L_Model$$Consignment} > ${L_Model$$TransportEquipment} ${IX_TransportEquipment} > ${L_Model$$Seal} ${IX_Seal} > ${L_Model$$Identifier}"
"Consignment/DepartureTransportMeans","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans}"
"Consignment/DepartureTransportMeans[]","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans}"
"Consignment/DepartureTransportMeans/typeOfIdentification","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification}"
"Consignment/DepartureTransportMeans/typeOfIdentification/Code","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${TypeOfIdentification}"
"Consignment/DepartureTransportMeans/typeOfIdentification/Description","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Description}"
"Consignment/DepartureTransportMeans/typeOfIdentification/ValidFrom","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Valid from}"
"Consignment/DepartureTransportMeans/typeOfIdentification/ValidTo","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Valid to}"
"Consignment/DepartureTransportMeans/typeOfIdentification/Lng","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Description language}"
"Consignment/DepartureTransportMeans/typeOfIdentification/_description","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${_ description}"
"Consignment/DepartureTransportMeans/identificationNumber","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$IdentificationNumber}"
"Consignment/DepartureTransportMeans/nationality","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality}"
"Consignment/DepartureTransportMeans/nationality/Code","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Nationality}"
"Consignment/DepartureTransportMeans/nationality/Description","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Description}"
"Consignment/DepartureTransportMeans/nationality/ValidFrom","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Valid from}"
"Consignment/DepartureTransportMeans/nationality/ValidTo","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Valid to}"
"Consignment/DepartureTransportMeans/nationality/Lng","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${Description language}"
"Consignment/DepartureTransportMeans/nationality/_description","${L_Model$$Consignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$Nationality} > ${_ description}"
"Consignment/HouseConsignment","${L_Model$$Consignment} > ${L_Model$$HouseConsignment}"
"Consignment/HouseConsignment[]","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment}"
"Consignment/HouseConsignment/DepartureTransportMeans","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans}"
"Consignment/HouseConsignment/DepartureTransportMeans[]","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification/Code","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${TypeOfIdentification}"
"Consignment/HouseConsignment/DepartureTransportMeans/typeOfIdentification/Description","${L_Model$$Consignment} > ${L_Model$$HouseConsignment} ${IX_HouseConsignment} > ${L_Model$$DepartureTransportMeans} ${IX_DepartureTransportMeans} > ${L_Model$$TypeOfIdentification} > ${Description}"
